name,specialty,category,phone,address,latitude,longitude,source_url
**Elbezm Dental Clinics** دكتور/خالد أحمد البزم,أسنان,طبيب أسنان,033027220,طريق إسكندرية مطروح الرئيسى ، الدرايسه ، العجمي البحري,31.1062749,29.7822225,https://www.google.com/maps/place/**Elbezm+Dental+Clinics**+%D8%AF%D9%83%D8%AA%D9%88%D8%B1%2F%D8%AE%D8%A7%D9%84%D8%AF+%D8%A3%D8%AD%D9%85%D8%AF+%D8%A7%D9%84%D8%A8%D8%B2%D9%85%E2%80%AD/data=!4m7!3m6!1s0x14f594ce4d71cea3:0x975945fc16ff5ce5!8m2!3d31.1062749!4d29.7822225!16s%2Fg%2F1tds3rcn!19sChIJo85xTc6U9RQR5Vz_FvxFWZc?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Dawood Dental Care,أسنان,عِيادة أسنان,01204900040,"Above Abu Dahi Juices, 1 Salem Eid, 5 Alexandria Matrouh Main Road",31.093376,29.7635668,https://www.google.com/maps/place/Dawood+Dental+Care/data=!4m7!3m6!1s0x14f5950a91c92465:0x21e14ed65f3e3bdd!8m2!3d31.093376!4d29.7635668!16s%2Fg%2F11t0m4d3hp!19sChIJZSTJkQqV9RQR3Ts-X9ZO4SE?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
"Dental Etch Clinic , دينتال إتش لطب الاسنان د. هشام توغان",أسنان,عِيادة أسنان,01556444534,"العجمي ،ابو يوسف ،طريق اسكندرية مطروح ،بجوار مدرسة, الاورمان",31.090348,29.755391,"https://www.google.com/maps/place/Dental+Etch+Clinic+,+%D8%AF%D9%8A%D9%86%D8%AA%D8%A7%D9%84+%D8%A5%D8%AA%D8%B4+%D9%84%D8%B7%D8%A8+%D8%A7%D9%84%D8%A7%D8%B3%D9%86%D8%A7%D9%86+%D8%AF.+%D9%87%D8%B4%D8%A7%D9%85+%D8%AA%D9%88%D8%BA%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14f59515583fd5e5:0x854a4ac8b84caa19!8m2!3d31.090348!4d29.755391!16s%2Fg%2F11rcbfvls_!19sChIJ5dU_WBWV9RQRGapMuMhKSoU?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1"
Dr. Abdelrahman Mohamed Khedr دكتور عبدالرحمن محمد خضر,أسنان,عِيادة أسنان,01091677822,"برج الخليل الدور الثانى فوق دار الأشعة, شارع الهانوفيل الرئيسى",31.0996811,29.7710251,https://www.google.com/maps/place/Dr.+Abdelrahman+Mohamed+Khedr+%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%B1%D8%AD%D9%85%D9%86+%D9%85%D8%AD%D9%85%D8%AF+%D8%AE%D8%B6%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x14f5952c0ad57a55:0xb6d88898fa64c20!8m2!3d31.0996811!4d29.7710251!16s%2Fg%2F11l759j05p!19sChIJVXrVCiyV9RQRIEymj4mIbQs?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Dr. Satea Mohamed,أسنان,طبيب أسنان,01223883396,Vectoria,31.1357019,29.8220502,https://www.google.com/maps/place/Dr.+Satea+Mohamed/data=!4m7!3m6!1s0x14f5ea9047dce8a1:0xc6478eb21f8a5225!8m2!3d31.1357019!4d29.8220502!16s%2Fg%2F11cn6c57hd!19sChIJoejcR5Dq9RQRJVKKH7KOR8Y?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
El Safwa Dental Center - مركز الصفوة لطب وتقويم الأسنان,أسنان,طبيب أسنان,01211640929,"العجمي _ابويوسف_طريق اسكندرية مطروح الرئيسي-امام مدخل, Al Haded We Al Soulb",31.0928247,29.7609811,https://www.google.com/maps/place/El+Safwa+Dental+Center+-+%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D8%B5%D9%81%D9%88%D8%A9+%D9%84%D8%B7%D8%A8+%D9%88%D8%AA%D9%82%D9%88%D9%8A%D9%85+%D8%A7%D9%84%D8%A3%D8%B3%D9%86%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14f595a5907ff301:0x52ca13a914e3d13b!8m2!3d31.0928247!4d29.7609811!16s%2Fg%2F11k_nt4z7_!19sChIJAfN_kKWV9RQRO9HjFKkTylI?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Farahat dental care,أسنان,عِيادة أسنان,,"مدارس العجمي النموذجيه, Alexandria - Marsa Matrouh Rd",31.102151,29.7765454,https://www.google.com/maps/place/Farahat+dental+care/data=!4m7!3m6!1s0x14f595005b3a374d:0xc658cda16b68c30f!8m2!3d31.102151!4d29.7765454!16s%2Fg%2F11vz57lc4p!19sChIJTTc6WwCV9RQRD8Noa6HNWMY?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Infinity Dental Center - مركز إنفينيتي لطب الأسنان,أسنان,عِيادة أسنان,3020444,Alexandria - Marsa Matrouh Rd,31.105177,29.7801266,https://www.google.com/maps/place/Infinity+Dental+Center+-+%D9%85%D8%B1%D9%83%D8%B2+%D8%A5%D9%86%D9%81%D9%8A%D9%86%D9%8A%D8%AA%D9%8A+%D9%84%D8%B7%D8%A8+%D8%A7%D9%84%D8%A3%D8%B3%D9%86%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14f5951ed1a421cf:0x31c7e6d40c6e7d9!8m2!3d31.105177!4d29.7801266!16s%2Fg%2F11h6xlyvhb!19sChIJzyGk0R6V9RQR2efGQG1-HAM?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Nova Dental Art,أسنان,عِيادة أسنان,01118617646,طريق اسكندرية مطروح الكيلو ٢١ الشارع الرئيسي Alexandria,31.0812421,29.7395975,https://www.google.com/maps/place/Nova+Dental+Art/data=!4m7!3m6!1s0x14f5939d4e59fc97:0x7c9cbdc19cbbd8ab!8m2!3d31.0812421!4d29.7395975!16s%2Fg%2F11vzy8bn04!19sChIJl_xZTp2T9RQRq9i7nMG9nHw?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
WeCare Dental Clinics - عيادات وي كير لطب الأسنان العجمي,أسنان,عِيادة أسنان,01503080822,"شارع إسكندرية، Mersa Matruh, مطروح،, الهانوفيل، فوق محلات الشناوي للموبايلات",31.1008125,29.7744375,https://www.google.com/maps/place/WeCare+Dental+Clinics+-+%D8%B9%D9%8A%D8%A7%D8%AF%D8%A7%D8%AA+%D9%88%D9%8A+%D9%83%D9%8A%D8%B1+%D9%84%D8%B7%D8%A8+%D8%A7%D9%84%D8%A3%D8%B3%D9%86%D8%A7%D9%86+%D8%A7%D9%84%D8%B9%D8%AC%D9%85%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x14f595334ea01dcf:0xfc01ce0d7744dd69!8m2!3d31.1008125!4d29.7744375!16s%2Fg%2F11tfyxkkk6!19sChIJzx2gTjOV9RQRad1Edw3OAfw?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
