fontTitleLarge,google-symbols,V56sed,CpfJee,hfpxzc href,xxVWCe,qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd (2),W4Efsd (3),W4Efsd (4),W4Efsd (5),UsdlK,Cw1rxd,R8c4Qb,doJOZc,W4Efsd (6),W4Efsd (7),lcr4fd href,Cw1rxd (2),R8c4Qb (2),qBF1Pd (2),e4rVHe,ah5Ghc
Results,,,Share,,,,,,,,,,,,,,,,,,,,,,
Results,,,Share,,,,,,,,,,,,,,,,,,,,,,
,,,,https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A7%D9%84%D8%A3%D8%B3%D8%AA%D8%A7%D8%B0+%D8%A7%D9%84%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%B9%D8%B5%D8%A7%D9%85+%D8%A8%D8%AF%D9%8A%D9%88%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x14f5c48dc31a3295:0xfaa3743b4a48d4be!8m2!3d31.2181478!4d29.9377202!16s%2Fg%2F11hd570grd!19sChIJlTIaw43E9RQRvtRISjt0o_o?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عيادة الأستاذ الدكتور عصام بديوي,عيادة الأستاذ الدكتور عصام بديوي,4.1,(148),طبيب جهاز هضمي,·,٤٩ شارع الشهيد محمد السيد حفني كليوباترا المحطة برج الأميرات الدور الأول,Open 24 hours,·,03 5229729,,Directions,,,,,,,,,
,,,,https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%AF.%D9%85%D9%86%D8%A9+%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%B1%D8%A7%D8%B2%D9%82+%D8%A7%D9%84%D8%AE%D8%B7%D9%8A%D8%A8%E2%80%AD/data=!4m7!3m6!1s0x14f5c500238e3221:0x97efe90b700d5d5a!8m2!3d31.2090284!4d29.9304603!16s%2Fg%2F11mlv2mp56!19sChIJITKOIwDF9RQRWl0NcAvp75c?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عيادة د.منة عبدالرازق الخطيب,عيادة د.منة عبدالرازق الخطيب,5.0,(1),طبيب مختصّ في أمراض القدم,·,,,204 Abou Quer,,,Directions,,,,,,,,,
,,,,https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D9%87+%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%B4%D9%8A%D9%85%D8%A7%D8%A1+%D8%B9%D9%82%D9%8A%D9%84%E2%80%AD/data=!4m7!3m6!1s0x14f5db00650930fb:0xf59d255c74822ff4!8m2!3d31.2128475!4d29.9977626!16s%2Fg%2F11x_3y2202!19sChIJ-zAJZQDb9RQR9C-CdFwlnfU?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عياده دكتور شيماء عقيل,عياده دكتور شيماء عقيل,5.0,(2),عيادة طبية,·,6X7X+44J سكينه شارع 7 الارض الجدبده,,,010 91307084,,Directions,,,,,,,,,
,,,,https://www.google.com/maps/place/%D8%A7%D9%84%D8%A3%D8%B3%D8%AA%D8%A7%D8%B0+%D8%A7%D9%84%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%AE%D9%84%D9%8A%D9%81%D8%A9+%D9%85%D8%AD%D9%85%D9%88%D8%AF+%D8%B9%D8%A8%D8%AF+%D8%A7%D9%84%D9%84%D9%87%E2%80%AD/data=!4m7!3m6!1s0x14f5c4d8cf4e5e3b:0xaa6a0175a080630c!8m2!3d31.2369591!4d29.9574633!16s%2Fg%2F11h3_stfj0!19sChIJO15Oz9jE9RQRDGOAoHUBaqo?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,الأستاذ الدكتور خليفة محمود عبد الله,الأستاذ الدكتور خليفة محمود عبد الله,4.3,(23),طبيب باطنه,·,بجوار المستشفي الألماني، 54 Abd El-Salam Aref,Open,·,03 5830494,,Directions,,· Closes 5 PM,·,,,,,,
,,,,https://www.google.com/maps/place/Dr.Ahmed+Fathalla+-+%D8%AF.%D8%A3%D8%AD%D9%85%D8%AF+%D9%81%D8%AA%D8%AD+%D8%A7%D9%84%D9%84%D9%87+409+followers+%E2%80%A2+3+following%E2%80%AD/data=!4m7!3m6!1s0x14f5c55ebe82d129:0xb4dc7145538d1565!8m2!3d31.2122919!4d29.9392017!16s%2Fg%2F11myj31g31!19sChIJKdGCvl7F9RQRZRWNU0Vx3LQ?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,Dr.Ahmed Fathalla - د.أحمد فتح الله 409 followers • 3 following,Dr.Ahmed Fathalla - د.أحمد فتح الله 409 followers • 3 following,4.7,(12),عيادة طبية,·,عمارة بانسيه – الدور الأول، عمارات أزهار السرايا أمام، 74 شارع فوزي معاذ، جامع علي ابن أبي طالب,Closed,·,012 02877220,,Directions,,· Opens 12 PM,,,,,,,
,,,,https://www.google.com/maps/place/%D8%A7%D9%84%D8%A5%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D9%8A+%D8%A7%D9%84%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D9%85%D8%AD%D9%85%D8%AF+%D8%B9%D8%AA%D9%85%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14f5c3e3027c22e7:0xa2320d9eca5de5fa!8m2!3d31.202926!4d29.8844379!16s%2Fg%2F11hyw5l744!19sChIJ5yJ8AuPD9RQR-uVdyp4NMqI?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,الإستشاري الدكتور محمد عتمان,الإستشاري الدكتور محمد عتمان,4.5,(63),طبيب مسالك بولية,·,ش فرنسا، بحرى,Closed,· Opens 7 PM,012 25223392,,Website,,·,,https://www.vezeeta.com/ar/dr/%D8%AF%D9%83%D8%AA%D9%88%D8%B1-%D9%85%D8%AD%D9%85%D8%AF-%D8%B9%D8%AA%D9%85%D8%A7%D9%86-%D9%85%D8%B3%D8%A7%D9%84%D9%83-%D8%A8%D9%88%D9%84%D9%8A%D8%A9,,Directions,,,
,,,,https://www.google.com/maps/place/%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%A7%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85+%D8%AE%D9%84%D9%8A%D9%84%E2%80%AD/data=!4m7!3m6!1s0x14f5c5003c482755:0xa942b2c8b341933a!8m2!3d31.2087547!4d29.9301797!16s%2Fg%2F11ynx90g2q!19sChIJVSdIPADF9RQROpNBs8iyQqk?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,دكتور ابراهيم خليل,دكتور ابراهيم خليل,2.7,(3),طبيب,·,,,200 Abou Quer,,,Directions,,,,,,,,,
,,,,https://www.google.com/maps/place/%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D9%85%D8%A7%D9%87%D8%B1+%D8%AD%D9%84%D9%85%D9%89+%D8%AC%D9%8A%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x14f5c3933d7abd67:0x250780295fdafaad!8m2!3d31.1927086!4d29.9096953!16s%2Fg%2F11h0h_m7vr!19sChIJZ716PZPD9RQRrfraXymAByU?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,دكتور ماهر حلمى جيد,دكتور ماهر حلمى جيد,4.7,(12),مستشار,·,Open,· Closes 6 AM,"5WW4+FC8 شارع عزبة, Ismail Mahana",012 22862148,,Directions,,,·,,,,,,
