hfpxzc href,xxVWCe,qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd (3),W4Efsd (4),W4Efsd (5),W4Efsd (6),UsdlK,Cw1rxd,R8c4Qb,lcr4fd href,Cw1rxd (2),R8c4Qb (2),doJOZc,qBF1Pd (2),ah5Ghc
https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%AF%D9%83%D8%AA%D9%88%D8%B1%D8%A9+%D8%B2%D9%87%D8%B1%D8%A7%D8%A1+%D8%A7%D9%84%D8%B3%D8%B9%D9%8A%D8%AF+%D8%A7%D9%84%D8%AE%D8%B4%D9%86%E2%80%AD/data=!4m7!3m6!1s0x1461fffabfcf54bb:0xeedf9ccded29ce20!8m2!3d31.3525288!4d27.2419998!16s%2Fg%2F11hz9c21j6!19sChIJu1TPv_r_YRQRIM4p7c2c3-4?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عيادة دكتورة زهراء السعيد الخشن,عيادة دكتورة زهراء السعيد الخشن,4.6,(32),طبيب,شارع بورسعيد بجوار مسجد الفتح مطروح,Closed,· Opens 7:30 PM,·,010 61549539,,Directions,,,,,,
https://www.google.com/maps/place/O.C.C+-+%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D9%85%D8%AD%D9%85%D8%AF+%D8%B3%D9%84%D8%A7%D9%85+%D9%88+%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D9%85%D9%86%D8%B3%D9%88%D8%A8+%D8%A7%D9%84%D8%B4%D8%A7%D9%84%E2%80%AD/data=!4m7!3m6!1s0x1461f965e7fcc2bb:0xdd0bb012c0216ebf!8m2!3d31.349157!4d27.242269!16s%2Fg%2F11npqz1r4b!19sChIJu8L852X5YRQRv24hwBKwC90?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,O.C.C - دكتور محمد سلام و دكتور منسوب الشال,O.C.C - دكتور محمد سلام و دكتور منسوب الشال,5.0,(22),عيادة جراحة العظام,برج استراحة المديرين، خلف برج فرعاص وفودافون أمام، مستشفى مطروح العام,Closed,· Opens 10 AM,·,010 97904507,,Website,https://www.facebook.com/61584323481542?locale=ar_AR,,Directions,,,
https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A7%D8%AA+%D8%A7%D9%84%D8%AA%D8%AD%D8%B1%D9%8A%D8%B1+%D8%A7%D9%84%D8%AA%D8%AE%D8%B5%D8%B5%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x1461ff87da29bfc5:0xd0aa75aaa21a2b25!8m2!3d31.3549374!4d27.243892!16s%2Fg%2F11t9r0gktb!19sChIJxb8p2of_YRQRJSsaoqp1qtA?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عيادات التحرير التخصصية,عيادات التحرير التخصصية,4.3,(16),مستشار صحي,Open 24 hours,·,,El-Tahrir,012 76006006,,Website,https://www.facebook.com/Tahrir.Clinics,,Directions,,,
https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%AF%D8%A7%D8%B1+%D8%A7%D9%84%D8%B4%D9%81%D8%A7%D8%A1+%D8%A7%D9%84%D8%B7%D8%A8%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x1461ff06bb0bca69:0xf298602431c628eb!8m2!3d31.3537245!4d27.2596625!16s%2Fg%2F11ll8mhl0l!19sChIJacoLuwb_YRQR6yjGMSRgmPI?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,مركز دار الشفاء الطبي,مركز دار الشفاء الطبي,4.8,(11),مركز طبي,Open 24 hours,Alam Al Roam,·,·,010 10555488,,Directions,,,,,,
https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A7%D8%AA+%D8%AF%2F+%D8%A3%D8%B3%D8%A7%D9%85%D8%A9+%D8%AD%D8%B3%D9%86+%D9%84%D8%AC%D8%B1%D8%A7%D8%AD%D8%A7%D8%AA+%D8%A7%D9%84%D8%B9%D8%B8%D8%A7%D9%85+%D9%81%D8%B1%D8%B9+%D9%85%D8%B7%D8%B1%D9%88%D8%AD%E2%80%AD/data=!4m7!3m6!1s0x1461f95ae54e7163:0x144faf415387d2bd!8m2!3d31.3491145!4d27.2416582!16s%2Fg%2F11p5mmnk_t!19sChIJY3FO5Vr5YRQRvdKHU0GvTxQ?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عيادات د/ أسامة حسن لجراحات العظام فرع مطروح,عيادات د/ أسامة حسن لجراحات العظام فرع مطروح,5.0,(2),عيادة جراحة العظام,Open,·,"86XR+JMV, Alxandria street",· Closes 12 AM,,,Directions,,,,,,
https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A3%D8%B3%D9%86%D8%A7%D9%86+%D8%AF.%D8%AD%D8%B3%D8%A7%D9%85+%D8%AD%D8%B3%D9%86+%D8%AE%D8%B6%D9%8A%D8%B1+Western+Dental+Clinic%E2%80%AD/data=!4m7!3m6!1s0x1461f9b7a8f6c36f:0xfcddbe55729fb6c4!8m2!3d31.3499329!4d27.2420983!16s%2Fg%2F11gsn4hhn7!19sChIJb8P2qLf5YRQRxLafclW-3fw?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عيادة أسنان د.حسام حسن خضير Western Dental Clinic,عيادة أسنان د.حسام حسن خضير Western Dental Clinic,4.8,(37),عِيادة أسنان,شارع الجوازات بجوار فرع فودافون,Closed,· Opens 12:30 PM,·,010 13110309,,Directions,,,,,,
https://www.google.com/maps/place/Pediatrics+Specialized+Centre/data=!4m7!3m6!1s0x1461feca6fbbc04b:0xdee4f2419dcf08cc!8m2!3d31.3535936!4d27.2434369!16s%2Fg%2F11c61r7s6z!19sChIJS8C7b8r-YRQRzAjPnUHy5N4?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,Pediatrics Specialized Centre,,4.1,(15),مركز طبي,Open 24 hours,Zaher Galal,·,,010 06093933,,Directions,,,,,Pediatrics Specialized Centre,
https://www.google.com/maps/place/Isa+Abdullah+Specialist+Hospital/data=!4m7!3m6!1s0x1461fecabb8b3f45:0x3ddf710a088ed028!8m2!3d31.3512047!4d27.2431028!16s%2Fg%2F11cmdrks81!19sChIJRT-Lu8r-YRQRKNCOCApx3z0?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,Isa Abdullah Specialist Hospital,,3.2,(87),طبيب,Open 24 hours,·,·,"962V+F6Q, Zaher Galal",046 4934823,,Website,https://www.eldacatra.com/hospital/contactInfo/%D9%85%D8%B3%D8%AA%D8%B4%D9%81%D9%89-%D8%B9%D8%A8%D8%AF-%D8%A7%D9%84%D9%84%D9%87-%D8%B9%D9%8A%D8%B3%D9%89-%D8%A7%D9%84%D8%AA%D8%AE%D8%B5%D8%B5%D9%89-%D9%85%D8%B1%D8%B3%D9%89-%D9%85%D8%B7%D8%B1%D9%88%D8%AD,,Directions,,Isa Abdullah Specialist Hospital,
https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D9%87.%D8%AF.%D8%A7%D9%8A%D9%85%D8%A7%D9%86+%D8%B9%D8%B1%D9%81%D8%A7%D9%86+%D9%86%D8%B3%D8%A7+%D9%88%D8%AA%D9%88%D9%84%D9%8A%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x1461ffbf6b30d6a3:0x24309647ee6680a2!8m2!3d31.3503783!4d27.2451467!16s%2Fg%2F11rzg3wc9y!19sChIJo9Ywa7__YRQRooBm7keWMCQ?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عياده.د.ايمان عرفان نسا وتوليد,عياده.د.ايمان عرفان نسا وتوليد,5.0,(10),طبيب أمراض نسائية و توليد,خلف مستشفى النساء والولادة,,,,010 23126428,,Directions,,,,,,
https://www.google.com/maps/place/%D9%83%D8%A7%D8%B1%D9%8A%D8%AA%D8%A7%D8%B3+%D9%85%D8%B7%D8%B1%D9%88%D8%AD+%2F+%D9%85%D8%B1%D9%83%D8%B2+%D8%B9%D8%B5%D8%B1+%D8%A7%D9%84%D8%A7%D8%B3%D9%84%D8%A7%D9%85+%D8%A7%D9%84%D8%B7%D8%A8%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x1461f932f2fb9ce3:0x1312f1e6c708e24b!8m2!3d31.3502606!4d27.2339567!16s%2Fg%2F11c74fmq6h!19sChIJ45z78jL5YRQRS-IIx-bxEhM?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,كاريتاس مطروح / مركز عصر الاسلام الطبي,كاريتاس مطروح / مركز عصر الاسلام الطبي,4.4,(11),عيادة طبية,Closed,El Thanawea Rd,· Opens 9 AM,·,046 4948009,,Directions,,,,,,
