hfpxzc href,xxVWCe,qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd (3),W4Efsd (4),W4Efsd (5),UsdlK,Cw1rxd,R8c4Qb,qBF1Pd (2),ah5Ghc,lcr4fd href,Cw1rxd (2),R8c4Qb (2)
https://www.google.com/maps/place/Vitals+clinic/data=!4m7!3m6!1s0x1460190019b3d2d9:0x2c8c2388a1b0b18!8m2!3d31.0764011!4d28.3784704!16s%2Fg%2F11z8f_9g3n!19sChIJ2dKzGQAZYBQRGAsbijjCyAI?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,Vitals clinic,Vitals clinic,4.6,(12),عيادة طبية,39GH+H27,Open 24 hours,·,011 12026222,,Directions,,,,,
https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A7%D8%AA+%D9%85%D8%A8%D8%B1%D8%A9+%D8%A7%D9%84%D8%B6%D8%A8%D8%B9%D8%A9+%D8%A7%D9%84%D8%AA%D8%AE%D8%B5%D8%B5%D9%8A%D8%A9+%28%D8%B9%D9%8A%D8%A7%D8%AF%D8%A7%D8%AA+%D8%B7%D8%A8%D9%8A%D8%A9%29%E2%80%AD/data=!4m7!3m6!1s0x14601bdbecadaedb:0x14d7182dabf4475e!8m2!3d31.0376369!4d28.4434872!16s%2Fg%2F11yffzbvd3!19sChIJ266t7NsbYBQRXkf0qy0Y1xQ?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عيادات مبرة الضبعة التخصصية (عيادات طبية),,5.0,(6),عيادة طبية,·,"كافيتيريا مارسيليا خلف موقف الميكروباص, الضبعة شارع",Open 24 hours,012 83443961,,Directions,عيادات مبرة الضبعة التخصصية (عيادات طبية),,,,
https://www.google.com/maps/place/New+Alamein+Clinic/data=!4m7!3m6!1s0x145fefeb6c33dab7:0x9ce583e61c669e0b!8m2!3d30.8402281!4d28.9496175!16s%2Fg%2F11t_gzszq_!19sChIJt9ozbOvvXxQRC55mHOaD5Zw?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,New Alamein Clinic,New Alamein Clinic,4.5,(16),عيادة طبية,Alexandria - Marsa Matrouh Rd,Open 24 hours,·,015 56414644,,Directions,,,,,
https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A7%D8%AA+%D8%A3%D9%85%D9%88%D8%A7%D8%AC+%D8%A7%D9%84%D8%AA%D8%AE%D8%B5%D8%B5%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x145ffd42c1131b4f:0x8d4f199c323ad70a!8m2!3d30.9737563!4d28.7309234!16s%2Fg%2F11ys8fc3f1!19sChIJTxsTwUL9XxQRCtc6MpwZT40?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عيادات أمواج التخصصية,,4.9,(15),مركز طبي,https://maps.app.goo.gl/dKwY81rzia8m3jcT6,Open 24 hours,·,010 50999749,,Directions,عيادات أمواج التخصصية,On-site services,,,
https://www.google.com/maps/place/The+Clinic/data=!4m7!3m6!1s0x145ffd00129932e9:0xbf51eed6da0eb39f!8m2!3d30.9705593!4d28.7383922!16s%2Fg%2F11zgrk_qf5!19sChIJ6TKZEgD9XxQRn7MO2tbuUb8?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,The Clinic,The Clinic,5.0,(8),عيادة طبية,XPCQ+47Q,Open 24 hours,·,010 10188746,,Directions,,,,,
https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%AF%2F+%D8%B1%D8%AC%D8%A8+%D8%A8%D8%AF%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x14601b8a9d061da1:0xba64ff4b29a26872!8m2!3d31.0293495!4d28.4434529!16s%2Fg%2F11k4nxstmt!19sChIJoR0GnYobYBQRcmiiKUv_ZLo?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عيادة د/ رجب بدر,,5.0,(1),طبيب باطنه,2CHV+P9P,,,,,Directions,عيادة د/ رجب بدر,,,,
https://www.google.com/maps/place/C+care+Clinic/data=!4m7!3m6!1s0x145ffb9101725ebf:0x487161c05d93466!8m2!3d30.9375008!4d28.7879897!16s%2Fg%2F11zcnjsk19!19sChIJv15yAZH7XxQRZjTZBRwWhwQ?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,C care Clinic,C care Clinic,5.0,(5),طبيب رعاية الطوارئ,"Hacienda Bay, 124 Alexandria - Marsa Matrouh Rd",,,010 93533496,,Website,,,https://carecliniceg.com/,,Directions
https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A7%D8%AA+%D8%A7%D9%84%D8%B5%D9%81%D9%88%D8%A9+%D8%A7%D9%84%D8%AA%D8%AE%D8%B5%D8%B5%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x14601b2df1776633:0x918aa7e799bbe0dc!8m2!3d31.0343522!4d28.4451263!16s%2Fg%2F11ll1rcgpv!19sChIJM2Z38S0bYBQR3OC7meenipE?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عيادات الصفوة التخصصية,,5.0,(4),عيادة طبية,,"2CMW+P3R، Unnamed Road, قسم الضبعة، مطروح،",,,,Directions,عيادات الصفوة التخصصية,,,,
https://www.google.com/maps/place/C+Care+Clinic/data=!4m7!3m6!1s0x145ffd867ea71b7f:0x23da84843d41b2f2!8m2!3d30.9787247!4d28.719716!16s%2Fg%2F11w4q9xqkb!19sChIJfxunfob9XxQR8rJBPYSE2iM?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,C Care Clinic,C Care Clinic,4.7,(23),طبيب رعاية الطوارئ,"next to Marassi, North Coast Rd",,,010 93533496,,Website,,On-site services,https://www.facebook.com/CareClinic247,,Directions
https://www.google.com/maps/place/Prime+Clinics+Telal/data=!4m7!3m6!1s0x146006c12046eadd:0xee6a3bf6ae03eca1!8m2!3d31.0094184!4d28.6062793!16s%2Fg%2F11cn6hn2d7!19sChIJ3epGIMEGYBQRoewDrvY7au4?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,Prime Clinics Telal,Prime Clinics Telal,4.6,(11),عيادة طبية,·,"الساحل الشمالى, سيدى عبد الرحمن",Closed,010 19505555,,Website,,,http://www.prime-clinics.com/,,Directions
