hfpxzc href,xxVWCe,qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd (2),W4Efsd (3),Cw1rxd,R8c4Qb,qBF1Pd (2),W4Efsd (4),W4Efsd (5),W4Efsd (6),UsdlK,ah5Ghc,doJOZc,lcr4fd href,Cw1rxd (2),R8c4Qb (2),e4rVHe,W4Efsd (7)
https://www.google.com/maps/place/Dermatology+and+Venereal+Diseases/data=!4m7!3m6!1s0x14f59384f1aaa383:0x4daecdb883ce1224!8m2!3d31.0784537!4d29.7348672!16s%2Fg%2F11c594wjx2!19sChIJg6Oq8YST9RQRJBLOg7jNrk0?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,Dermatology and Venereal Diseases,Dermatology and Venereal Diseases,4.0,(1),قسم في المستشفى,·,21 International Coastal Rd,,Directions,,,,,,,,,,,,
https://www.google.com/maps/place/%D8%AF%D9%83%D8%AA%D9%88%D8%B1%D8%A9+%D9%85%D8%B1%D9%8A%D9%85+%D8%B9%D8%A8%D8%AF+%D8%A7%D9%84%D8%B9%D8%B2%D9%8A%D8%B2+%D8%A3%D8%AE%D8%B5%D8%A7%D8%A6%D9%8A%D8%A9+%D8%A7%D9%84%D8%A3%D9%85%D8%B1%D8%A7%D8%B6+%D8%A7%D9%84%D8%AC%D9%84%D8%AF%D9%8A%D8%A9+%D9%88%D8%A7%D9%84%D8%AA%D8%AC%D9%85%D9%8A%D9%84+%D9%88%D8%A7%D9%84%D9%84%D9%8A%D8%B2%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x14f595003a0d34e5:0x282bc415c1f55903!8m2!3d31.0932046!4d29.7603466!16s%2Fg%2F11wwztldz1!19sChIJ5TQNOgCV9RQRA1n1wRXEKyg?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,دكتورة مريم عبد العزيز أخصائية الأمراض الجلدية والتجميل والليزر,,5.0,(5),طبيب أمراض جلدية,·,Al Haded We Al Soulb,,Directions,دكتورة مريم عبد العزيز أخصائية الأمراض الجلدية والتجميل والليزر,Closed,· Opens 6 PM,·,012 00506765,On-site services,,,,,,
https://www.google.com/maps/place/%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%A5%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85+%D9%81%D9%80%D8%B1%D8%AC+%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D9%8A+%D8%A7%D9%84%D8%AC%D9%84%D8%AF%D9%8A%D8%A9+%D9%88%D8%A7%D9%84%D8%AA%D9%86%D8%A7%D8%B3%D9%84%D9%8A%D8%A9+%D9%88%D8%A7%D9%84%D8%B0%D9%83%D9%88%D8%B1%D8%A9+%D9%88%D8%AA%D8%AC%D9%85%D9%8A%D9%84+%D8%A7%D9%84%D8%AC%D9%84%D8%AF+%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A7%D9%84%D8%B9%D8%AC%D9%85%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x14f595781d960695:0xbc97bc9d66339a48!8m2!3d31.1025484!4d29.7772223!16s%2Fg%2F11tc4p197j!19sChIJlQaWHXiV9RQRSJozZp28l7w?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,دكتور إبراهيم فـرج استشاري الجلدية والتناسلية والذكورة وتجميل الجلد عيادة العجمي,,4.3,(43),طبيب أمراض جلدية,·,·,,Directions,دكتور إبراهيم فـرج استشاري الجلدية والتناسلية والذكورة وتجميل الجلد عيادة العجمي,"صيدلية نهى, العجمي الطريق الرئيسي الاسكندريه مطروح أمام سنتر بولا للعب الأطفال أعلى, Al Daresa",Closed,· Opens 1 PM Wed,012 73547788,,,,,,,
https://www.google.com/maps/place/%D9%85%D8%B3%D8%AA%D8%B4%D9%81%D9%89+%D9%85%D8%A8%D8%B1%D8%A9+%D8%A7%D9%84%D8%B9%D8%B5%D8%A7%D9%81%D8%B1%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x14f59384f048a451:0xcbbeed7912d364d0!8m2!3d31.0783283!4d29.7347994!16s%2Fg%2F1z44qts7x!19sChIJUaRI8IST9RQR0GTTEnntvss?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,مستشفى مبرة العصافرة,,3.5,(932),مستشفى,·,·,,Website,مستشفى مبرة العصافرة,21 International Coastal Rd,Open 24 hours,·,0315016,,,https://mabaret-alasafra.com/,,Directions,,
https://www.google.com/maps/place/%D8%A7%D9%84%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D9%85%D8%AD%D9%85%D8%AF+%D8%AD%D8%B3%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14f594ce3b0584b3:0x70d8d8083eb378d!8m2!3d31.1055008!4d29.7811879!16s%2Fg%2F11h3gpfyrt!19sChIJs4QFO86U9RQRjTfrg4CNDQc?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,الدكتور محمد حسن,,5.0,(2),طبيب أمراض جلدية,·,,,Directions,الدكتور محمد حسن,"بجوار تبارك للبصريات الكيلو ١٦.٥, Alexandria Desert Rd",,,012 88339400,,,,,,,
https://www.google.com/maps/place/Dr+Hamdy+Elshennawy+Clinic/data=!4m7!3m6!1s0x14f595115d7cb2b5:0xaec64a5e524f8a9a!8m2!3d31.0987684!4d29.7716886!16s%2Fg%2F11jdbhgwtd!19sChIJtbJ8XRGV9RQRmopPUl5Kxq4?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,Dr Hamdy Elshennawy Clinic,Dr Hamdy Elshennawy Clinic,3.0,(2),طبيب أمراض جلدية,·,3 El-Hag Eid Khair Allah No. 1,,Directions,,Closed,· Opens 5 PM,·,015 50178333,,,,,,,
https://www.google.com/maps/place/%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D8%A7%D8%B0+%D8%A7%D9%84%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D9%81%D9%8A%D8%B1%D9%88%D8%B2+%D8%A8%D8%AF%D8%B1%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14f5952c6829d7f1:0x34d282eac286fb1f!8m2!3d31.1236588!4d29.7837605!16s%2Fg%2F1tjcrq23!19sChIJ8dcpaCyV9RQRH_uGwuqC0jQ?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,الاستاذ الدكتور فيروز بدران,,3.7,(19),طبيب أمراض جلدية,·,·,,Directions,الاستاذ الدكتور فيروز بدران,,,83 El Bitash St.,03 3091224,,,,,,,
https://www.google.com/maps/place/%D8%A7%D9%84%D8%AF%D9%83%D8%AA%D9%88%D8%B1%D8%A9+%D9%86%D9%88%D8%B1+%D8%A7%D9%84%D9%87%D8%AF%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x14f5957e70838925:0xca96216e93d7fdd7!8m2!3d31.0974165!4d29.7493804!16s%2Fg%2F11fjbl4wsy!19sChIJJYmDcH6V9RQR1_3Xk24hlso?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,الدكتورة نور الهدي,,,,طبيب,·,"3PWX+XQ6, Abou Youssef",,Directions,الدكتورة نور الهدي,,,,,,,,,,No reviews,
https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A7%D9%84%D8%AC%D9%84%D8%AF%D9%8A%D8%A9+%D9%88%D8%A7%D9%84%D8%AA%D9%86%D8%A7%D8%B3%D9%84%D9%8A%D8%A9+%D9%88%D8%A7%D9%84%D8%AA%D8%BA%D8%B0%D9%8A%D8%A9+%D8%A7%D9%84%D8%B9%D9%84%D8%A7%D8%AC%D9%8A%D8%A9+%D8%AF%2F%D8%B9%D9%84%D9%89+%D8%B9%D8%B7%D9%8A%D9%87+%D8%B9%D9%84%D9%89%E2%80%AD/data=!4m7!3m6!1s0x14f5952c8efb3517:0xe9f62d175251ad00!8m2!3d31.1214071!4d29.7865282!16s%2Fg%2F11hyfj7sjt!19sChIJFzX7jiyV9RQRAK1RUhct9uk?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عيادة الجلدية والتناسلية والتغذية العلاجية د/على عطيه على,,3.7,(12),طبيب أمراض جلدية,·,·,,Directions,عيادة الجلدية والتناسلية والتغذية العلاجية د/على عطيه على,"4QCP+HJ6، شارع البيطاش الرئيسي أمام مطعم أسماك البحر, Al Bitash",Closed,· Opens 4 PM,012 28297510,,,,,,,
https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D9%87+%D8%A7%D9%84%D8%AF%D9%83%D8%AA%D9%88%D8%B1%D9%87+%D9%8A%D8%A7%D8%B3%D9%85%D9%8A%D9%86+%D8%A7%D9%84%D8%AD%D9%83%D9%8A%D9%85+%D8%A7%D8%AE%D8%B5%D8%A7%D8%A6%D9%8A%D9%87+%D8%A7%D9%84%D8%AC%D9%84%D8%AF%D9%8A%D9%87+%D9%88%D8%A7%D9%84%D8%AA%D8%AC%D9%85%D9%8A%D9%84+%D9%88%D8%A7%D9%84%D9%84%D9%8A%D8%B2%D8%B1+%D9%88%D8%A7%D9%84%D8%AA%D8%BA%D8%B0%D9%8A%D8%A9+%D8%A7%D9%84%D8%B9%D9%84%D8%A7%D8%AC%D9%8A%D9%87%E2%80%AD/data=!4m7!3m6!1s0x14f595275a7ed7b7:0x92b9e6195010e38e!8m2!3d31.1208902!4d29.7873419!16s%2Fg%2F11v5fc812z!19sChIJt9d-WieV9RQRjuMQUBnmuZI?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عياده الدكتوره ياسمين الحكيم اخصائيه الجلديه والتجميل والليزر والتغذية العلاجيه,,3.8,(5),طبيب أمراض جلدية,·,61 Al Bitash,,Directions,عياده الدكتوره ياسمين الحكيم اخصائيه الجلديه والتجميل والليزر والتغذية العلاجيه,Closed,· Opens 5 PM,·,03 3089217,,,,,,,
